Strain Identifier	Strain name	Evolution Experiment?	Parental Strain	Alternative Strain Name	Full Strain Name After Genome Analysis	ENA Accession	Alternative Genome Source	Reference (PMID)	Isolation origin	Year	Phenotype	German BSL level	Notes
NT12016	NRG 857C	0			Escherichia coli O83:H1 str. NRG 857C	PRJNA161987		21108814;18312396;17900983	Crohn's disease patient, Charite, Berlin, Germany		Pathogenic strain	2	Adherent Invasive E. coli (AIEC)
NT12017	ECOR-01	0			Escherichia coli ECOR-01			6363394	Human, USA (Iowa)		Commensal strain	2	Group A strain from a healthy person
NT12018	ECOR-02	0			Escherichia coli ECOR-02			6363394	Human, USA (NY)		Commensal strain	2	Group A strain from a healthy person
NT12019	ECOR-03	0			Escherichia coli ECOR-03			6363394	Dog, USA (Mass.)		Commensal strain	1	Group A strain from a healthy dog
NT12020	ECOR-04	0			Escherichia coli ECOR-04			6363394	Human (child), USA (Iowa)		Commensal strain	1	Group A strain from a healthy child
NT12021	ECOR-05	0			Escherichia coli ECOR-05			6363394	Human, USA (Iowa)		Commensal strain	2	Group A strain from a healthy person
NT12022	ECOR-06	0			Escherichia coli ECOR-06			6363394	Human (child), USA (Iowa)		Commensal strain	1	Group A strain from a healthy child
NT12023	ECOR-07	0			Escherichia coli ECOR-07			6363394	Orangutan, USA (Wash.)		Commensal strain	1	Group A strain from a healthy orangutan in captivity
NT12024	ECOR-08	0			Escherichia coli ECOR-08			6363394	Human, USA (Iowa)		Commensal strain	2	Group A strain from a healthy person
NT12025	ECOR-09	0			Escherichia coli ECOR-09			6363394	Human, Sweden		Commensal strain	1	Group A strain from a healthy person
NT12026	ECOR-10	0			Escherichia coli ECOR-10			6363394	Human, Sweden		Commensal strain	1	Group A strain from a healthy person
NT12027	ECOR-11	0			Escherichia coli ECOR-11			6363394	Human, Sweden		Commensal strain	2	Group A strain from a patient with a UTI and acute cystitis
NT12028	ECOR-12	0			Escherichia coli ECOR-12			6363394	Human, Sweden		Commensal strain	1	Group A strain from a healthy person
NT12029	ECOR-13	0			Escherichia coli ECOR-13			6363394	Human, Sweden		Commensal strain	1	Group A strain from a healthy person
NT12030	ECOR-14	0			Escherichia coli ECOR-14			6363394	Human, Sweden		Commensal strain	2	Group A strain from a patient with a UTI and acute pyelonephritis
NT12031	ECOR-15	0			Escherichia coli ECOR-15			6363394	Human, Sweden		Commensal strain	1	Group A strain from a healthy person
NT12032	ECOR-16	0			Escherichia coli ECOR-16			6363394	Leopard, USA (Wash.)		Commensal strain	1	Group A strain from a healthy leopard in captivity
NT12033	ECOR-17	0			Escherichia coli ECOR-17			6363394	Pig, Indonesia		Commensal strain	1	Group A strain from a healthy pig
NT12034	ECOR-18	0			Escherichia coli ECOR-18			6363394	Celebese ape, USA (Wash.)		Commensal strain	1	Group A strain from a healthy Celebese ape in captivity
NT12035	ECOR-19	0			Escherichia coli ECOR-19			6363394	Celebese ape, USA (Wash.)		Commensal strain	1	Group A strain from a healthy Celebese ape in captivity
NT12036	ECOR-20	0			Escherichia coli ECOR-20			6363394	Steer, Bali		Commensal strain	1	Group A strain from a healthy steer
NT12037	ECOR-21	0			Escherichia coli ECOR-21			6363394	Steer, Bali		Commensal strain	1	Group A strain from a healthy steer
NT12038	ECOR-22	0			Escherichia coli ECOR-22			6363394	Steer, Bali		Commensal strain	1	Group A strain from a healthy steer
NT12039	ECOR-23	0			Escherichia coli ECOR-23			6363394	Elephant, USA (Wash.)		Commensal strain	1	Group A strain from a healthy elephant in captivity
NT12040	ECOR-24	0			Escherichia coli ECOR-24			6363394	Human, Sweden		Commensal strain	2	Group A strain from a healthy person
NT12041	ECOR-25	0			Escherichia coli ECOR-25			6363394	Dog, USA (NY)		Commensal strain	2	Group A strain from a healthy dog
NT12042	ECOR-26	0			Escherichia coli ECOR-26			6363394	Human (infant), USA (Mass.)		Commensal strain	1	Group B1 strain from a healthy infant
NT12043	ECOR-27	0			Escherichia coli ECOR-27			6363394	Giraffe, USA (Wash.)		Commensal strain	2	Group B1 strain from a healthy giraffe in captivity
NT12044	ECOR-28	0			Escherichia coli ECOR-28			6363394	Human (child), USA (Iowa)		Commensal strain	1	Group B1 strain from a healthy child
NT12045	ECOR-29	0			Escherichia coli ECOR-29			6363394	Kangaroo rat, USA (Nev.)		Commensal strain	1	Group B1 strain from a healthy kangaroo rat
NT12046	ECOR-30	0			Escherichia coli ECOR-30			6363394	Bison, Canada		Commensal strain	2	Group B1 strain from a healthy bison
NT12047	ECOR-31	0			Escherichia coli ECOR-31			6363394	Leopard, USA (Wash.)		Commensal strain	2	Group E strain from a healthy leopard in captivity
NT12048	ECOR-32	0			Escherichia coli ECOR-32			6363394	Giraffe, USA (Wash.)		Commensal strain	1	Group B1 strain from a healthy giraffe in captivity
NT12049	ECOR-33	0			Escherichia coli ECOR-33			6363394	Sheep, USA (Calif.)		Commensal strain	1	Group B1 strain from a healthy sheep
NT12050	ECOR-34	0			Escherichia coli ECOR-34			6363394	Dog, USA (Mass.)		Commensal strain	1	Group B1 strain from a healthy dog
NT12051	ECOR-35	0			Escherichia coli ECOR-35			6363394	Human, USA (Iowa)		Commensal strain	2	Group D strain from a healthy person
NT12052	ECOR-36	0			Escherichia coli ECOR-36			6363394	Human, USA (Iowa)		Commensal strain	2	Group D strain from a healthy person
NT12053	ECOR-37	0			Escherichia coli ECOR-37			6363394	Marmoset, USA (Wash.)		Commensal strain	2	Group E strain from a healthy marmoset in captivity
NT12054	ECOR-38	0			Escherichia coli ECOR-38			6363394	Human, USA (Iowa)		Commensal strain	2	Group D strain from a healthy person
NT12055	ECOR-39	0			Escherichia coli ECOR-39			6363394	Human, Sweden		Commensal strain	2	Group D strain from a healthy person
NT12056	ECOR-40	0			Escherichia coli ECOR-40			6363394	Human, Sweden		Commensal strain	2	Group D strain from a patient with a UTI and acute pyelonephritis
NT12057	ECOR-41	0			Escherichia coli ECOR-41			6363394	Human, Tonga		Commensal strain	2	Group D strain from a healthy person
NT12058	ECOR-42	0			Escherichia coli ECOR-42			6363394	Human, USA (Mass.)		Commensal strain	1	Group E strain from a healthy person
NT12059	ECOR-43	0			Escherichia coli ECOR-43			6363394	Human, Sweden		Commensal strain	2	Group E strain from a healthy person
NT12060	ECOR-44	0			Escherichia coli ECOR-44			6363394	Cougar, USA (Wash.)		Commensal strain	2	Group D strain from a healthy cougar in captivity
NT12061	ECOR-45	0			Escherichia coli ECOR-45			6363394	Pig, Indonesia		Commensal strain	1	Group B1 strain from a healthy pig
NT12062	ECOR-46	0			Escherichia coli ECOR-46			6363394	Ape, USA (Wash.)		Commensal strain	2	Group D strain from a healthy ape in captivity
NT12063	ECOR-47	0			Escherichia coli ECOR-47			6363394	Sheep, New Guinea		Commensal strain	2	Group D strain from a healthy sheep
NT12064	ECOR-48	0			Escherichia coli ECOR-48			6363394	Human, Sweden		Commensal strain	2	Group D strain from a patient with a UTI and acute cystitis
NT12065	ECOR-49	0			Escherichia coli ECOR-49			6363394	Human, Sweden		Commensal strain	2	Group D strain from a healthy person
NT12066	ECOR-50	0			Escherichia coli ECOR-50			6363394	Human, Sweden		Commensal strain	2	Group D strain from a patient with a UTI and acute pyelonephritis
NT12067	ECOR-51	0			Escherichia coli ECOR-51			6363394	Human (infant), USA (Mass.)		Commensal strain	2	Group B2 strain from a healthy infant
NT12068	ECOR-52	0			Escherichia coli ECOR-52			6363394	Orangutan, USA (Wash.)		Commensal strain	2	Group B2 strain from a healthy orangutan
NT12069	ECOR-53	0			Escherichia coli ECOR-53			6363394	Human (child), USA (Iowa)		Commensal strain	2	Group B2 strain from a healthy child
NT12070	ECOR-54	0			Escherichia coli ECOR-54			6363394	Human, USA (Iowa)		Commensal strain	2	Group B2 strain from a healthy person
NT12071	ECOR-55	0			Escherichia coli ECOR-55			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a patient with a UTI and acute pyelonephritis
NT12072	ECOR-56	0			Escherichia coli ECOR-56			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a healthy person
NT12073	ECOR-57	0			Escherichia coli ECOR-57			6363394	Gorilla, USA (Wash.)		Commensal strain	2	Group B2 strain from a healthy gorilla in captivity
NT12074	ECOR-58	0			Escherichia coli ECOR-58			6363394	Lion, USA (Wash.)		Commensal strain	2	Group B1 strain from a healthy lion in captivity
NT12075	ECOR-59	0			Escherichia coli ECOR-59			6363394	Human, USA (Mass.)		Commensal strain	2	Group B2 strain from a healthy person
NT12076	ECOR-60	0			Escherichia coli ECOR-60			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a patient with a UTI and acute cystitis
NT12077	ECOR-61	0			Escherichia coli ECOR-61			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a healthy person
NT12078	ECOR-62	0			Escherichia coli ECOR-62			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a patient with a UTI and acute pyelonephritis
NT12079	ECOR-63	0			Escherichia coli ECOR-63			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a healthy person
NT12080	ECOR-64	0			Escherichia coli ECOR-64			6363394	Human, Sweden		Commensal strain	2	Group B2 strain from a patient with a UTI and acute cystitis
NT12081	ECOR-65	0			Escherichia coli ECOR-65			6363394	Celebese ape, USA (Wash.)		Commensal strain	2	Group B2 strain from a healthy celebese ape in captivity
NT12082	ECOR-66	0			Escherichia coli ECOR-66			6363394	Celebese ape, USA (Wash.)		Commensal strain	2	Group B1 strain from a healthy celebese ape in captivity
NT12083	ECOR-67	0			Escherichia coli ECOR-67			6363394	Goat, Indonesia		Commensal strain	1	Group B1 strain from a healthy goat
NT12084	ECOR-68	0			Escherichia coli ECOR-68			6363394	Giraffe, USA (Wash.)		Commensal strain	2	Group B1 strain from a healthy giraffe in captivity
NT12085	ECOR-69	0			Escherichia coli ECOR-69			6363394	Celebese ape, USA (Wash.)		Commensal strain	1	Group B1 strain from a healthy celebese ape in captivity
NT12086	ECOR-70	0			Escherichia coli ECOR-70			6363394	Gorilla, USA (Wash.)		Commensal strain	2	Group B1 strain from a healthy gorilla in captivity
NT12087	ECOR-71	0			Escherichia coli ECOR-71			6363394	Human, Sweden		Commensal strain	2	Group B1 strain from a person with asymptomatic bacteriuria
NT12088	ECOR-72	0			Escherichia coli ECOR-72			6363394	Human, Sweden		Commensal strain	2	Group B1 strain from a patient with a UTI and acute pyelonephritis
NT12089	ATCC 11775	0		DSM-30083	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	PRJNA59555			Human urine		Commensal strain	2	
NT12090	W	0		DSM-1116	Escherichia coli W	PRJNA162011			Cemetery soil, Rutgers University, USA	1943	Commensal strain	1	
NT12091	ATCC 8739	0		DSM-1576	Escherichia coli ATCC 8739	PRJNA58783					Commensal strain	2	
NT12092	ATCC 25922	0		DSM-1103	Escherichia coli ATCC 25922	PRJNA197239			Clinical sample, Seattle, USA	1946	Pathogenic strain	2	
NT12093	S17	0		DSM-9079	Escherichia coli S17	PRJNA189395			Derivation of K-12		Laboratory strain	1	
NT12094	DH1	0		DSM-4235	Escherichia coli DH1	PRJDA162051		4568763	Derivation of K-12		Laboratory strain	1	
NT12095	DH1 (E381)	0		DSM-5346	Escherichia coli str. K-12 substr. DH10B	PRJNA58979		4568763	Derivation of K-12		Laboratory strain	1	
NT12096	UTI 83972	0			Escherichia coli ABU 83972	PRJNA161975		20865122	Asymptomatic human urine, Sweden	1975	Commensal strain	1	ABU (asymptomatic bacteriuria); colonization of urine in the absence of clinical symptoms
NT12097	UTI89	0			Escherichia coli UTI89	PRJNA58541		16585510	Patient with an acute bladder infection		Pathogenic strain	2	UPEC
NT12098	IAI01	0			Escherichia coli IAI1	PRJNA59377		9916057	Human feces	1999	Commensal strain	1	
NT12099	IAI02	0			Escherichia coli IAI02			9916057	Human feces	1999	Commensal strain	1	
NT12100	IAI03	0			Escherichia coli IAI03			9916057	Human feces	1999	Commensal strain	1	
NT12101	IAI04	0			Escherichia coli IAI04			9916057	Human feces	1999	Commensal strain	1	
NT12102	IAI05	0			Escherichia coli IAI05			9916057	Human feces	1999	Commensal strain	1	
NT12103	IAI06	0			Escherichia coli IAI06			9916057	Human feces	1999	Commensal strain	1	
NT12104	IAI07	0			Escherichia coli IAI07			9916057	Human feces	1999	Commensal strain	1	
NT12105	IAI08	0			Escherichia coli IAI08			9916057	Human feces	1999	Commensal strain	1	
NT12106	IAI09	0			Escherichia coli IAI09			9916057	Human feces	1999	Commensal strain	1	
NT12107	IAI10	0			Escherichia coli IAI10			9916057	Human feces	1999	Commensal strain	1	
NT12108	IAI11	0			Escherichia coli IAI11			9916057	Human feces	1999	Commensal strain	1	
NT12109	IAI12	0			Escherichia coli IAI12			9916057	Human feces	1999	Commensal strain	1	
NT12110	IAI13	0			Escherichia coli IAI13			9916057	Human feces	1999	Commensal strain	1	
NT12111	IAI14	0			Escherichia coli IAI14			9916057	Human feces	1999	Commensal strain	1	
NT12112	IAI15	0			Escherichia coli IAI15			9916057	Human feces	1999	Commensal strain	1	
NT12113	IAI16	0			Escherichia coli IAI16			9916057	Human blood	1999	Pathogenic strain	2	
NT12114	IAI17	0			Escherichia coli IAI17			9916057	Human urine	1999	Pathogenic strain	2	
NT12115	IAI18	0			Escherichia coli IAI18			9916057	Human urine	1999	Pathogenic strain	2	
NT12116	IAI19	0			Escherichia coli IAI19			9916057	Human urine	1999	Pathogenic strain	2	
NT12117	IAI20	0			Escherichia coli IAI20			9916057	Human	1999	Pathogenic strain	2	
NT12118	IAI21	0			Escherichia coli IAI21			9916057	Human urine	1999	Pathogenic strain	2	
NT12119	IAI22	0			Escherichia coli IAI22			9916057	Human urine	1999	Pathogenic strain	2	
NT12120	IAI23	0			Escherichia coli IAI23			9916057	Human urine	1999	Pathogenic strain	2	
NT12121	IAI24	0			Escherichia coli IAI24			9916057	Human urine	1999	Pathogenic strain	2	
NT12122	IAI25	0			Escherichia coli IAI25			9916057	Human urine	1999	Pathogenic strain	2	
NT12123	IAI26	0			Escherichia coli IAI26			9916057	Human urine	1999	Pathogenic strain	2	
NT12124	IAI27	0			Escherichia coli IAI27			9916057	Human urine	1999	Pathogenic strain	2	
NT12125	IAI28	0			Escherichia coli IAI28			9916057	Human urine	1999	Pathogenic strain	2	
NT12126	IAI29	0			Escherichia coli IAI29			9916057	Human urine	1999	Pathogenic strain	2	
NT12127	IAI30	0			Escherichia coli IAI30			9916057	Human urine	1999	Pathogenic strain	2	
NT12128	IAI31	0			Escherichia coli IAI31			9916057	Human urine	1999	Pathogenic strain	2	
NT12129	IAI32	0			Escherichia coli IAI32			9916057	Human urine	1999	Pathogenic strain	2	
NT12130	IAI33	0			Escherichia coli IAI33			9916057	Human urine	1999	Pathogenic strain	2	
NT12131	IAI34	0			Escherichia coli IAI34			9916057	Human blood	1999	Pathogenic strain	2	
NT12132	IAI35	0			Escherichia coli IAI35			9916057	Human blood	1999	Pathogenic strain	2	
NT12133	IAI36	0			Escherichia coli IAI36			9916057	Human	1999	Pathogenic strain	2	
NT12134	IAI37	0			Escherichia coli IAI37			9916057	Human	1999	Pathogenic strain	2	
NT12135	IAI38	0			Escherichia coli IAI38			9916057	Human	1999	Pathogenic strain	2	
NT12136	IAI39	0			Escherichia coli IAI39	PRJNA59381		9916057	Human urine	1999	Pathogenic strain	2	
NT12137	IAI40	0			Escherichia coli IAI40			9916057	Human urine	1999	Pathogenic strain	2	
NT12138	IAI41	0			Escherichia coli IAI41			9916057	Human urine	1999	Pathogenic strain	2	
NT12139	IAI42	0			Escherichia coli IAI42			9916057	Human urine	1999	Pathogenic strain	2	
NT12140	IAI43	0			Escherichia coli IAI43			9916057	Human urine	1999	Pathogenic strain	2	
NT12141	IAI44	0			Escherichia coli IAI44			9916057	Human urine	1999	Pathogenic strain	2	
NT12142	IAI45	0			Escherichia coli IAI45			9916057	Human urine	1999	Pathogenic strain	2	
NT12143	IAI46	0			Escherichia coli IAI46			9916057	Human urine	1999	Pathogenic strain	2	
NT12144	IAI47	0			Escherichia coli IAI47			9916057	Human urine	1999	Pathogenic strain	2	
NT12145	IAI48	0			Escherichia coli IAI48			9916057	Human blood	1999	Pathogenic strain	2	
NT12146	IAI49	0			Escherichia coli IAI49			9916057	Human urine	1999	Pathogenic strain	2	
NT12147	IAI50	0			Escherichia coli IAI50			9916057	Human urine	1999	Pathogenic strain	2	
NT12148	IAI51	0			Escherichia coli IAI51			9916057	Human urine	1999	Pathogenic strain	2	
NT12149	IAI52	0			Escherichia coli IAI52			9916057	Human urine	1999	Pathogenic strain	2	
NT12150	IAI53	0			Escherichia coli IAI53			9916057	Human urine	1999	Pathogenic strain	2	
NT12151	IAI54	0			Escherichia coli IAI54			9916057	Human urine	1999	Pathogenic strain	2	
NT12152	IAI55	0			Escherichia coli IAI55			9916057	Human urine	1999	Pathogenic strain	2	
NT12153	IAI56	0			Escherichia coli IAI56			9916057	Human urine	1999	Pathogenic strain	2	
NT12154	IAI57	0			Escherichia coli IAI57			9916057	Human urine	1999	Pathogenic strain	2	
NT12155	IAI58	0			Escherichia coli IAI58			9916057	Human urine	1999	Pathogenic strain	2	
NT12156	IAI59	0			Escherichia coli IAI59			9916057	Human urine	1999	Pathogenic strain	2	
NT12157	IAI60	0			Escherichia coli IAI60			9916057	Human blood	1999	Pathogenic strain	2	
NT12158	IAI61	0			Escherichia coli IAI61			9916057	Human	1999	Pathogenic strain	2	
NT12159	IAI62	0			Escherichia coli IAI62			9916057	Human urine	1999	Pathogenic strain	2	
NT12160	IAI63	0			Escherichia coli IAI63			9916057	Human urine	1999	Pathogenic strain	2	
NT12161	IAI64	0			Escherichia coli IAI64			9916057	Human urine	1999	Pathogenic strain	2	
NT12162	IAI65	0			Escherichia coli IAI65			9916057	Human	1999	Pathogenic strain	2	
NT12163	IAI66	0			Escherichia coli IAI66			9916057	Human urine	1999	Pathogenic strain	2	
NT12164	IAI67	0			Escherichia coli IAI67			9916057	Human urine	1999	Pathogenic strain	2	
NT12165	IAI68	0			Escherichia coli IAI68			9916057	Human urine	1999	Pathogenic strain	2	
NT12166	IAI69	0			Escherichia coli IAI69			9916057	Human	1999	Pathogenic strain	2	
NT12167	IAI70	0			Escherichia coli IAI70			9916057	Human urine	1999	Pathogenic strain	2	
NT12168	IAI71	0			Escherichia coli IAI71			9916057	Human urine	1999	Pathogenic strain	2	
NT12169	IAI72	0			Escherichia coli IAI72			9916057	Human urine	1999	Pathogenic strain	2	
NT12170	IAI73	0			Escherichia coli IAI73			9916057	Human blood	1999	Pathogenic strain	2	
NT12171	IAI74	0			Escherichia coli IAI74			9916057	Human urine	1999	Pathogenic strain	2	
NT12172	IAI75	0			Escherichia coli IAI75			9916057	Human	1999	Pathogenic strain	2	
NT12173	IAI76	0			Escherichia coli IAI76			9916057	Human urine	1999	Pathogenic strain	2	
NT12174	IAI77	0			Escherichia coli IAI77			9916057	Human urine	1999	Pathogenic strain	2	
NT12175	IAI78	0			Escherichia coli IAI78			9916057	Human urine	1999	Pathogenic strain	2	
NT12176	IAI79	0			Escherichia coli IAI79			9916057	Human urine	1999	Pathogenic strain	2	
NT12177	IAI80	0			Escherichia coli IAI80			9916057	Human urine	1999	Pathogenic strain	2	
NT12178	IAI81	0			Escherichia coli IAI81			9916057	Human urine	1999	Pathogenic strain	2	
NT12179	IAI82	0			Escherichia coli IAI82			9916057	Human urine	1999	Pathogenic strain	2	
NT12180	Perfeito-WT	1	NT12001		Escherichia coli Perfeito-WT			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12181	Perfeito-Clone-1	1	NT12001		Escherichia coli Perfeito-Clone-1			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12182	Perfeito-Clone-2	1	NT12001		Escherichia coli Perfeito-Clone-2			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12183	Perfeito-Clone-3	1	NT12001		Escherichia coli Perfeito-Clone-3			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12184	Perfeito-Clone-4	1	NT12001		Escherichia coli Perfeito-Clone-4			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12185	Perfeito-Clone-5	1	NT12001					17690297	Evolution experiment	2007	Evolution experiment	1	
NT12186	Perfeito-Clone-6	1	NT12001		Escherichia coli Perfeito-Clone-6			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12187	Perfeito-Clone-7	1	NT12001		Escherichia coli Perfeito-Clone-7			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12188	Perfeito-Clone-8	1	NT12001		Escherichia coli Perfeito-Clone-8			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12189	Perfeito-Clone-9	1	NT12001		Escherichia coli Perfeito-Clone-9			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12190	Perfeito-Clone-10	1	NT12001		Escherichia coli Perfeito-Clone-10			17690297	Evolution experiment	2007	Evolution experiment	1	
NT12191	O42	0			Escherichia coli O42			20098708			Pathogenic strain	2	EAEC
NT12192	CFT073	0			Escherichia coli CFT073	PRJNA57915		12471157	Patient with Pyelonephritis, University of Maryland Hospital, USA		Pathogenic strain	2	
NT12193	HM605	0			Escherichia coli HM605	PRJNA180456		21705601	Crohn's disease patient colon biopsy		Pathogenic strain	2	Adherent-invasive strain
NT12194	H10407	0			Escherichia coli ETEC H10407	PRJEA161993		20802035	Patient with cholera-like symptoms, Dacca, Bangladesh	1973	Pathogenic strain	2	ETEC
NT12195	E2348/69	0			Escherichia coli O127:H6 str. E2348/69	PRJNA59343		18952797	Taunton, UK	1969	Pathogenic strain	2	EPEC
NT12196	O157 delta stx	0			Escherichia coli O157						Laboratory strain	2	
NT12197	EC958	0			Escherichia coli O25b:ST131 str. JIE186	PRJNA190594		22053197	Patient with urinary tract infection (UTI), UK		Pathogenic strain	2	UPEC
NT12198	ZG-1.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12199	ZG-1.13	0			Escherichia coli ZG-1			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12200	ZG-1.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12201	ZG-1.6	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12202	ZG-1.8	0			Escherichia coli ZG-1			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12203	ZG-3.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12204	ZG-3.11	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12205	ZG-3.13	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12206	ZG-4.1	0			Escherichia coli ZG-4			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12207	ZG-4.11	0			Escherichia coli ZG-4			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12208	ZG-4.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12209	ZG-5.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12210	ZG-5.2	0			Escherichia coli ZG-5			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12211	ZG-5.8	0			Escherichia coli ZG-5			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12212	ZG-5.9	0			Escherichia coli ZG-5			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12213	ZG-6.1	0			Escherichia coli ZG-6			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12214	ZG-6.10	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12215	ZG-7.1	0			Escherichia coli ZG-7			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12216	ZG-7.13	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12217	ZG-7.8	0			Escherichia coli ZG-7			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12218	ZG-7.9	0			Escherichia coli ZG-7			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12219	ZG-8.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12220	ZG-8.3	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12221	ZG-8.5	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12222	ZG-8.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12223	ZG-9.1	0			Escherichia coli ZG-9			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12224	ZG-9.3	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12225	ZG-10.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12226	ZG-11.1	0			Escherichia coli ZG-11			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12227	ZG-11.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12228	ZG-12.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12229	ZG-12.10	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12230	ZG-12.2	0			Escherichia coli ZG-12			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12231	ZG-13.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12232	ZG-13.2	0			Escherichia coli ZG-13			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12233	ZG-13.4	0			Escherichia coli ZG-13			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12234	ZG-13.9	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
